CODGEO,LIBGEO,EPCI,LIBEPCI,NATURE_EPCI
78087,Bonnelles,ZZZZZZZZZ,nd,nd
78089,Bonnières-sur-Seine,247800527,CC des Portes de l'Ile de France,CC
78090,Bouafle,247800626,CC Seine Mauldre,CC
78092,Bougival,200000339,CC des Coteaux de Seine,CC
78096,Bourdonné,247800550,CC du Pays Houdanais,CC
78104,Breuil-Bois-Robert,247800014,CA de Mantes en Yvelines,CA
78107,Bréval,200000487,CC du Plateau de Lommoye,CC
78108,Les Bréviaires,247800634,CC des Etangs,CC
78113,Brueil-en-Vexin,247800642,CC Vexin Seine,CC
78117,Buc,247800584,CA Versailles Grand Parc,CA
78118,Buchelay,247800014,CA de Mantes en Yvelines,CA
78120,Bullion,ZZZZZZZZZ,nd,nd
78123,Carrières-sous-Poissy,200000321,CA des deux Rives de la Seine,CA
78124,Carrières-sur-Seine,247800659,CC de la Boucle de la Seine,CC
78125,La Celle-les-Bordes,ZZZZZZZZZ,nd,nd
78126,La Celle-Saint-Cloud,200000339,CC des Coteaux de Seine,CC
78128,Cernay-la-Ville,ZZZZZZZZZ,nd,nd
78133,Chambourcy,ZZZZZZZZZ,nd,nd
78138,Chanteloup-les-Vignes,200000321,CA des deux Rives de la Seine,CA
78140,Chapet,200000321,CA des deux Rives de la Seine,CA
78143,Châteaufort,ZZZZZZZZZ,nd,nd
78146,Chatou,247800659,CC de la Boucle de la Seine,CC
78147,Chaufour-lès-Bonnières,200000487,CC du Plateau de Lommoye,CC
78152,Chavenay,ZZZZZZZZZ,nd,nd
78158,Le Chesnay,ZZZZZZZZZ,nd,nd
78160,Chevreuse,ZZZZZZZZZ,nd,nd
78162,Choisel,ZZZZZZZZZ,nd,nd
78163,Civry-la-Forêt,247800550,CC du Pays Houdanais,CC
78164,Clairefontaine-en-Yvelines,247800600,CC Plaines et Forêts d'Yvelines,CC
78165,Les Clayes-sous-Bois,ZZZZZZZZZ,nd,nd
78168,Coignières,ZZZZZZZZZ,nd,nd
78171,Condé-sur-Vesgre,247800550,CC du Pays Houdanais,CC
